label_a,label_b,symmetric_oof_errors,matched_sessions,feature,n_pairs,mean_a_minus_b_rank,median_a_minus_b_rank,sign_consistency,paired_standardised_mean,abs_mean_rank_delta
Attentively,Leisurely,2,4,sk_v_iqr,4,0.25,0.5,0.75,0.2886751345948129,0.25
Attentively,Leisurely,2,4,imu_gyr_mean,4,-0.25,-0.5,0.75,-0.5,0.25
Calmly,Leisurely,2,16,sk_cad_pow,16,0.25,0.5,0.6875,0.3952847075210474,0.25
Carefully,Gently,1,1,rad_v_mean,1,1.0,1.0,1.0,,1.0
Carefully,Gently,1,1,dino_cad_hz,1,1.0,1.0,1.0,,1.0
Carefully,Gently,1,1,raw_hip_efficiency,1,1.0,1.0,1.0,,1.0
Carefully,Hurriedly,1,6,imu_dacc_mean,5,-1.0,-1.0,1.0,,1.0
Carefully,Hurriedly,1,6,imu_gyr_mean,5,-1.0,-1.0,1.0,,1.0
Carefully,Hurriedly,1,6,dino_path,6,1.0,1.0,1.0,,1.0
Carefully,Hurriedly,1,6,dino_straight,6,-1.0,-1.0,1.0,,1.0
Carefully,Rapidly,1,3,raw_pose_amplitude,3,-1.0,-1.0,1.0,,1.0
Carefully,Slowly,1,2,imu_acc_std,1,1.0,1.0,1.0,,1.0
Carefully,Slowly,1,2,imu_dacc_mean,1,-1.0,-1.0,1.0,,1.0
Carefully,Slowly,1,2,imu_acc_energy,1,1.0,1.0,1.0,,1.0
Carefully,Slowly,1,2,imu_gyr_mean,1,-1.0,-1.0,1.0,,1.0
Carefully,Slowly,1,2,imu_gyr_energy,1,-1.0,-1.0,1.0,,1.0
Carefully,Slowly,1,2,dino_v_mean,2,-1.0,-1.0,1.0,,1.0
Carefully,Slowly,1,2,dino_cos_mean,2,1.0,1.0,1.0,,1.0
Carefully,Slowly,1,2,raw_wrist_ankle_ratio,2,-1.0,-1.0,1.0,,1.0
Evenly,Gently,1,1,sk_vmax_mean,1,-1.0,-1.0,1.0,,1.0
Evenly,Gently,1,1,sk_cad_hz,1,-1.0,-1.0,1.0,,1.0
Evenly,Gently,1,1,imu_acc_std,1,1.0,1.0,1.0,,1.0
Evenly,Gently,1,1,imu_dacc_mean,1,1.0,1.0,1.0,,1.0
Evenly,Gently,1,1,imu_acc_energy,1,1.0,1.0,1.0,,1.0
Evenly,Gently,1,1,imu_gyr_mean,1,1.0,1.0,1.0,,1.0
Evenly,Gently,1,1,imu_gyr_energy,1,1.0,1.0,1.0,,1.0
Evenly,Gently,1,1,rad_v_mean,1,1.0,1.0,1.0,,1.0
Carefully,Hurriedly,1,6,duration_s,5,0.9,1.0,1.0,4.024922359499621,0.9
Carefully,Hurriedly,1,6,imu_gyr_energy,5,-0.9,-1.0,1.0,-4.024922359499621,0.9
Carefully,Hurriedly,1,6,raw_duration_s,5,0.9,1.0,1.0,4.024922359499621,0.9
Carefully,Hurriedly,1,6,dino_cos_mean,6,0.8333333333333334,1.0,1.0,3.2274861218395148,0.8333333333333334
Carefully,Rapidly,1,3,dino_v_p90,3,-0.8333333333333334,-1.0,1.0,-2.886751345948129,0.8333333333333334
Carefully,Rapidly,1,3,dino_straight,3,-0.8333333333333334,-1.0,1.0,-2.886751345948129,0.8333333333333334
Carefully,Rapidly,1,3,duration_s,3,0.6666666666666666,0.5,1.0,2.309401076758503,0.6666666666666666
Carefully,Rapidly,1,3,sk_v_mean,3,-0.6666666666666666,-0.5,1.0,-2.309401076758503,0.6666666666666666
Carefully,Rapidly,1,3,sk_vmax_mean,3,-0.6666666666666666,-0.5,1.0,-2.309401076758503,0.6666666666666666
Carefully,Rapidly,1,3,sk_vankle_mean,3,-0.6666666666666666,-0.5,1.0,-2.309401076758503,0.6666666666666666
Carefully,Rapidly,1,3,sk_cad_pow,3,-0.6666666666666666,-0.5,1.0,-2.309401076758503,0.6666666666666666
Carefully,Gently,1,1,duration_s,1,-0.5,-0.5,1.0,,0.5
Carefully,Gently,1,1,sk_v_mean,1,0.5,0.5,1.0,,0.5
Carefully,Gently,1,1,sk_v_p90,1,0.5,0.5,1.0,,0.5
Carefully,Gently,1,1,sk_vmax_mean,1,0.5,0.5,1.0,,0.5
Carefully,Gently,1,1,sk_a_mean,1,0.5,0.5,1.0,,0.5
