action,group,emotion_rows,errors,accuracy,median_duration_s,median_raw_speed
Washing dishes,NEUT,9,0,1.0,17.5,0.19588366385870642
Washing dishes,SLOW,9,1,0.8888888888888888,17.300000000745058,0.3270251690230321
Washing face,CARE,9,2,0.7777777777777778,13.700000002980232,0.278223052171209
Washing face,FAST,11,1,0.9090909090909091,7.300000000745058,0.331677986029637
Washing face,NERV,3,0,1.0,21.899999998509884,0.5840317430434762
Washing face,NEUT,4,0,1.0,16.700000000186265,0.24552502455871072
Washing face,SLOW,14,2,0.8571428571428571,17.049999998882413,0.3672206421365851
Watching TV,CARE,3,0,1.0,13.900000002235174,0.20976802880751227
Watching TV,FAST,2,0,1.0,8.049999998882413,0.2873360216274758
Watching TV,NERV,3,1,0.6666666666666666,10.0,0.26590940156324605
Watching TV,NEUT,2,1,0.5,30.299999999813735,0.23385964659929395
Watching TV,SLOW,5,1,0.8,14.399999998509884,0.19025567266013574
Wiping hands,CARE,17,1,0.9411764705882353,10.800000000745058,0.3151222899575914
Wiping hands,FAST,22,2,0.9090909090909091,8.5,0.3349347442471013
Wiping hands,NERV,3,0,1.0,26.0,0.5840317430434762
Wiping hands,NEUT,5,2,0.6,18.09999999962747,0.353448762041281
Wiping hands,SLOW,30,2,0.9333333333333333,16.499999998137355,0.23363879332060639
Wiping surface,CARE,16,2,0.875,11.050000000745058,0.32287824975930585
Wiping surface,FAST,21,1,0.9523809523809523,7.400000002235174,0.4850768240890212
Wiping surface,NEUT,10,1,0.9,31.949999999254942,0.3072208202494876
Wiping surface,SLOW,9,0,1.0,19.399999998509884,0.3573178209945417
Writing,CARE,6,1,0.8333333333333334,16.40000000130385,0.1782579025412112
Writing,FAST,10,0,1.0,18.750000000931323,0.2768677718141871
Writing,NERV,5,0,1.0,18.199999999254942,0.19990121460155286
Writing,NEUT,7,0,1.0,19.90000000037253,0.21518348876437024
Writing,SLOW,19,1,0.9473684210526315,26.799999998882413,0.19660526198913397
